ticker,final_score,trade_action,raw_score,options_score,ivp,vrp,ivp_score,vrp_score,phi_score,psi_score,si_avoidance_score,put_skew_penalty,scoring_date,signal_version,regime,regime_gate
EVMN,0.0,AVOID,50.0,50.0,,,,,0.0,0.0,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
EWTX,0.0,AVOID,26.05,26.05,23.728813559322035,9.738659331334569,21.43,32.98,23.728813559322035,9.738659331334569,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
EXAS,0.0,AVOID,72.99,72.99,96.61016949152544,13.387658221901754,98.21,35.16,96.61016949152544,13.387658221901754,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
EXEL,0.0,AVOID,15.414,15.414,11.864406779661016,-3.379537863410569,8.93,25.14,11.864406779661016,-3.379537863410569,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
FATE,0.0,AVOID,9.056,9.056,3.389830508474576,-7.554988689724524,0.0,22.64,3.389830508474576,-7.554988689724524,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
FBIO,0.0,AVOID,34.198,34.198,30.508474576271187,25.899174484264293,28.57,42.64,30.508474576271187,25.899174484264293,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
FBRX,0.0,AVOID,66.16,66.16,70.27027027027027,54.452288913528605,70.46,59.71,70.27027027027027,54.452288913528605,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
FDMT,0.0,AVOID,26.764,26.764,27.11864406779661,3.771812788536664,25.0,29.41,27.11864406779661,3.771812788536664,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
FLGT,0.0,AVOID,36.426,36.426,61.01694915254237,-123.54661756778398,60.71,0.0,61.01694915254237,-123.54661756778398,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
FOLD,0.0,AVOID,15.7,15.7,8.47457627118644,6.7874730286586775,5.36,31.21,8.47457627118644,6.7874730286586775,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
