ticker,price,prev_close,daily_chg_pct,ytd_pct,52w_high,52w_low,52w_high_pct,52w_low_pct,date
MIRM,96.005,92.4,3.9015,,,,,,2026-04-01
MIST,1.325,1.2,10.4167,,,,,,2026-04-01
MLTX,16.695,18.63,-10.3865,,,,,,2026-04-01
MLYS,27.28,27.08,0.7386,,,,,,2026-04-01
MNKD,2.535,2.46,3.0488,-55.5263,6.505,2.23,-61.03,13.6771,2026-04-01
MNPR,56.07,55.0,1.9455,,103.765,27.02,-45.9644,107.513,2026-04-01
MPLT,20.945,20.35,2.9238,,,,,,2026-04-01
MRK,121.12,120.225,0.7444,,,,,,2026-04-01
MRNA,50.5,50.82,-0.6297,,,,,,2026-04-01
MRVI,2.87,2.83,1.4134,,,,,,2026-04-01
MYGN,4.625,4.5,2.7778,,,,,,2026-04-01
NAGE,4.585,4.42,3.733,,,,,,2026-04-01
NAMS,33.005,32.0,3.1406,,,,,,2026-04-01
NATR,24.41,23.9,2.1339,,,,,,2026-04-01
NBIX,132.295,131.73,0.4289,,,,,,2026-04-01
NBP,2.535,2.46,3.0488,,,,,,2026-04-01
NBTX,33.6,29.71,13.0932,,,,,,2026-04-01
NEOG,9.545,9.285,2.8002,,,,,,2026-04-01
NERV,6.06,6.055,0.0826,,,,,,2026-04-01
NGNE,21.28,20.22,5.2423,,,,,,2026-04-01
NKTR,76.655,71.915,6.5911,,,,,,2026-04-01
NKTX,2.265,2.11,7.346,,,,,,2026-04-01
NMRA,2.005,1.945,3.0848,,,,,,2026-04-01
NNNN,26.99,25.75,4.8155,,,,,,2026-04-01
NRIX,15.65,15.49,1.0329,,,,,,2026-04-01
NTLA,13.43,12.81,4.84,,,,,,2026-04-01
NTRA,204.62,200.0,2.31,,,,,,2026-04-01
NUVB,4.53,4.28,5.8411,,,,,,2026-04-01
NUVL,104.085,102.49,1.5562,,,,,,2026-04-01
NVAX,8.17,8.15,0.2454,,,,,,2026-04-01
NVCR,11.18,10.91,2.4748,,,,,,2026-04-01
NVO,36.76,36.74,0.0544,,,,,,2026-04-01
NVS,155.025,152.72,1.5093,,,,,,2026-04-01
OCGN,1.87,1.815,3.0303,,,,,,2026-04-01
OCS,27.39,26.58,3.0474,,,,,,2026-04-01
OCUL,8.525,8.48,0.5307,,,,,,2026-04-01
OGN,6.075,5.98,1.5886,,,,,,2026-04-01
OLMA,15.295,14.91,2.5822,,,,,,2026-04-01
OMER,11.96,10.57,13.1504,,,,,,2026-04-01
ONC,310.38,296.87,4.5508,,,,,,2026-04-01
ONCY,0.863,0.8532,1.1486,,,,,,2026-04-01
OPK,1.145,1.145,0.0,,,,,,2026-04-01
ORGO,2.435,2.38,2.3109,,,,,,2026-04-01
ORIC,9.05,12.65,-28.4585,,,,,,2026-04-01
ORKA,50.25,49.08,2.3839,,,,,,2026-04-01
OVID,2.245,2.215,1.3544,,,,,,2026-04-01
PACB,1.37,1.31,4.5802,,,,,,2026-04-01
PAHC,56.24,55.28,1.7366,,,,,,2026-04-01
PALI,1.87,1.75,6.8571,,,,,,2026-04-01
PBH,58.925,59.2,-0.4645,,,,,,2026-04-01
PBYI,6.66,6.38,4.3887,,,,,,2026-04-01
PCRX,22.745,22.6,0.6416,,,,,,2026-04-01
PCVX,57.79,58.06,-0.465,,,,,,2026-04-01
PEPG,1.83,1.745,4.8711,,,,,,2026-04-01
PFE,28.15,28.075,0.2671,12.7804,28.385,20.92,-0.8279,34.5602,2026-04-01
PGEN,3.905,3.86,1.1658,,5.465,1.11,-28.5453,251.8018,2026-04-01
PHAT,11.39,11.13,2.336,,,,,,2026-04-01
PHVS,28.55,28.235,1.1156,,,,,,2026-04-01
PLX,2.22,2.19,1.3699,,,,,,2026-04-01
PRAX,327.34,322.05,1.6426,,,,,,2026-04-01
PRGO,11.08,10.74,3.1657,,,,,,2026-04-01
PRME,3.61,3.48,3.7356,,,,,,2026-04-01
PROK,1.855,1.795,3.3426,,,,,,2026-04-01
PRTA,9.86,9.71,1.5448,,,,,,2026-04-01
PSNL,6.58,6.365,3.3778,,,,,,2026-04-01
PTCT,69.37,68.105,1.8574,,,,,,2026-04-01
PTGX,104.925,105.54,-0.5827,,,,,,2026-04-01
PVLA,121.99,125.0,-2.408,,,,,,2026-04-01
QDEL,17.27,16.38,5.4335,,,,,,2026-04-01
QGEN,40.425,40.055,0.9237,,,,,,2026-04-01
QSI,0.7811,0.7783,0.3598,,,,,,2026-04-01
QTRX,3.575,3.515,1.707,,,,,,2026-04-01
QURE,16.395,16.34,0.3366,,,,,,2026-04-01
RANI,0.7675,0.7289,5.2957,,,,,,2026-04-01
RAPP,31.99,31.46,1.6847,,,,,,2026-04-01
RAPT,57.995,57.99,0.0086,,,,,,2026-04-01
RARE,21.29,20.92,1.7686,,,,,,2026-04-01
RCKT,3.68,3.58,2.7933,,,,,,2026-04-01
RCUS,22.02,21.62,1.8501,,,,,,2026-04-01
RDY,13.57,13.85,-2.0217,,,,,,2026-04-01
REGN,776.37,772.33,0.5231,,,,,,2026-04-01
REPL,7.77,7.64,1.7016,,,,,,2026-04-01
RGC,36.51,25.48,43.2889,,,,,,2026-04-01
RGEN,120.44,117.87,2.1804,,,,,,2026-04-01
RGNX,8.865,8.37,5.914,,,,,,2026-04-01
RIGL,27.89,27.065,3.0482,,,,,,2026-04-01
RLAY,10.485,9.94,5.4829,,,,,,2026-04-01
RLMD,7.34,6.94,5.7637,,,,,,2026-04-01
RNA,13.715,13.345,2.7726,,,,,,2026-04-01
RNAC,6.34,6.175,2.6721,,,,,,2026-04-01
RNAM,72.92,,,,,,,,2026-04-01
ROIV,28.1,27.71,1.4074,,,,,,2026-04-01
RPRX,48.37,47.97,0.8339,,,,,,2026-04-01
RVMD,98.04,97.18,0.885,,,,,,2026-04-01
RXRX,3.16,3.07,2.9316,,,,,,2026-04-01
RYTM,88.95,87.0,2.2414,,,,,,2026-04-01
RZLT,3.165,3.04,4.1118,,,,,,2026-04-01
SABS,3.89,3.84,1.3021,,,,,,2026-04-01
SANA,3.0,2.87,4.5296,,,,,,2026-04-01
SDGR,11.53,11.37,1.4072,,,,,,2026-04-01
SEPN,24.68,24.0,2.8333,,,,,,2026-04-01
SGMO,0.264,0.2479,6.4946,,,,,,2026-04-01
SGMT,5.33,5.23,1.912,,,,,,2026-04-01
SIGA,5.245,5.355,-2.0542,,,,,,2026-04-01
SION,41.73,40.13,3.987,2.6316,44.88,7.26,-7.0187,474.7934,2026-04-01
SLDB,7.425,7.19,3.2684,,8.64,2.42,-14.0625,206.8182,2026-04-01
SLGL,79.3,69.35,14.3475,,,,,,2026-04-01
SLN,5.435,5.24,3.7214,,,,,,2026-04-01
SLNO,36.25,33.45,8.3707,,,,,,2026-04-01
SLS,4.265,4.22,1.0664,,,,,,2026-04-01
SMMT,18.965,18.95,0.0792,,,,,,2026-04-01
SNDL,1.36,1.33,2.2556,,,,,,2026-04-01
SNDX,23.32,23.37,-0.2139,,,,,,2026-04-01
SNY,48.015,48.18,-0.3425,,,,,,2026-04-01
SPRY,8.03,8.03,0.0,,,,,,2026-04-01
SRPT,22.33,21.74,2.7139,,,,,,2026-04-01
SRRK,48.77,49.11,-0.6923,,,,,,2026-04-01
SRZN,29.3,29.13,0.5836,,,,,,2026-04-01
