ticker,company_name,exchange,gics_sub_industry,gics_name,market_cap,addv_usd,mcap_tier,in_xbi,in_ibb,source,universe_date
SNDL,SNDL Inc.,NASDAQ,35202010,Pharmaceuticals,390112512.0,1842784.2944561164,small_cap,False,False,EDGAR,2026-03-19
BNTC,Benitec Biopharma Inc.,NASDAQ,35202010,Pharmaceuticals,389820864.0,2144264.6311805723,small_cap,False,False,EDGAR,2026-03-19
MNPR,Monopar Therapeutics Inc.,NASDAQ,35202010,Pharmaceuticals,380840480.0,12769487.72655487,small_cap,False,False,EDGAR,2026-03-19
STTK,"Shattuck Labs, Inc.",NASDAQ,35202010,Pharmaceuticals,379679072.0,2708958.9113785424,small_cap,False,False,EDGAR,2026-03-19
CBIO,"Crescent Biopharma, Inc.",NASDAQ,35202010,Pharmaceuticals,366274624.0,2138340.3807668686,small_cap,False,False,EDGAR,2026-03-19
FBRX,"Forte Biosciences, Inc.",NASDAQ,35202010,Pharmaceuticals,360650464.0,5482804.529036331,small_cap,False,False,EDGAR,2026-03-19
EOLS,"Evolus, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,358777504.0,6585933.229313469,small_cap,False,False,EDGAR,2026-03-19
ORGO,Organogenesis Holdings Inc.,NASDAQ,35202010,Pharmaceuticals,356977888.0,2232234.909156879,small_cap,False,False,EDGAR,2026-03-19
IRD,"Opus Genetics, Inc.",NASDAQ,35202010,Pharmaceuticals,338614240.0,4936130.510807387,small_cap,False,False,EDGAR,2026-03-19
VACH,Voyager Acquisition Corp,NASDAQ,35201010,Biotechnology,338071232.0,1820556.11089681,small_cap,False,False,EDGAR,2026-03-19
ANL,Adlai Nortye Ltd.,NASDAQ,35202010,Pharmaceuticals,331364384.0,2431032.1119143805,small_cap,False,False,EDGAR,2026-03-19
USNA,"USANA Health Sciences, Inc.",NYSE,35202010,Pharmaceuticals,326953120.0,2748409.956332779,small_cap,False,False,EDGAR,2026-03-19
RLMD,"Relmada Therapeutics, Inc.",NASDAQ,35202010,Pharmaceuticals,326334624.0,14867341.487906361,small_cap,False,False,EDGAR,2026-03-19
XFOR,"X4 Pharmaceuticals, Inc.",NASDAQ,35201010,Biotechnology,325264480.0,2203673.112348588,small_cap,False,False,EDGAR,2026-03-19
XOMA,XOMA Royalty Corporation,NASDAQ,35202010,Pharmaceuticals,321960672.0,4069054.5781074525,small_cap,False,False,EDGAR,2026-03-19
AVTX,"Avalo Therapeutics, Inc.",NASDAQ,35202010,Pharmaceuticals,321011200.0,8806935.157553483,small_cap,False,False,EDGAR,2026-03-19
GLSI,"Greenwich LifeSciences, Inc.",NASDAQ,35202010,Pharmaceuticals,319000768.0,5119826.55860672,small_cap,False,False,EDGAR,2026-03-19
TARA,"Protara Therapeutics, Inc.",NASDAQ,35201010,Biotechnology,316700704.0,6850750.560544538,small_cap,False,False,EDGAR,2026-03-19
PBYI,Puma Biotechnology Inc,NASDAQ,35202010,Pharmaceuticals,305118144.0,2944459.191530609,small_cap,False,False,EDGAR,2026-03-19
AMRN,Amarin Corporation plc,NASDAQ,35202010,Pharmaceuticals,292345152.0,1301995.334631602,micro_cap,False,False,EDGAR,2026-03-19
ALXO,ALX Oncology Holdings Inc.,NASDAQ,35202010,Pharmaceuticals,291257600.0,1939366.348875936,micro_cap,False,False,EDGAR,2026-03-19
ALDX,"Aldeyra Therapeutics, Inc.",NASDAQ,35202010,Pharmaceuticals,289172352.0,8469735.421611838,micro_cap,False,False,EDGAR,2026-03-19
CNTX,Context Therapeutics Inc.,NASDAQ,35202010,Pharmaceuticals,287581824.0,2984917.645172405,micro_cap,False,False,EDGAR,2026-03-19
CHRS,"Coherus Oncology, Inc.",NASDAQ,35201010,Biotechnology,271289888.0,3163221.996120596,micro_cap,False,False,EDGAR,2026-03-19
KALA,"KALA BIO, Inc.",NASDAQ,35202010,Pharmaceuticals,263921248.0,4247011.445323029,micro_cap,False,False,EDGAR,2026-03-19
FENC,Fennec Pharmaceuticals Inc.,NASDAQ,35201010,Biotechnology,263152688.0,1058999.6610546112,micro_cap,False,False,EDGAR,2026-03-19
ABEO,Abeona Therapeutics Inc.,NASDAQ,35202010,Pharmaceuticals,262828096.0,6236556.491310151,micro_cap,False,False,EDGAR,2026-03-19
HELP,Cybin Inc.,NASDAQ,35202010,Pharmaceuticals,262443152.0,6371771.383003807,micro_cap,False,False,EDGAR,2026-03-19
LFCR,"Lifecore Biomedical, Inc.",NASDAQ,35202010,Pharmaceuticals,260953152.0,1519689.51404109,micro_cap,False,False,EDGAR,2026-03-19
NERV,"Minerva Neurosciences, Inc",NASDAQ,35202010,Pharmaceuticals,260079152.0,1375499.7672481379,micro_cap,False,False,EDGAR,2026-03-19
PALI,"Palisade Bio, Inc.",NASDAQ,35201010,Biotechnology,243947264.0,5934414.761791118,micro_cap,False,False,EDGAR,2026-03-19
IKT,"Inhibikase Therapeutics, Inc.",NASDAQ,35201010,Biotechnology,228588384.0,4900466.972789629,micro_cap,False,False,EDGAR,2026-03-19
ACHV,"Achieve Life Sciences, Inc.",NASDAQ,35203010,Life Science Tools & Services,228107632.0,1654892.7817160606,micro_cap,False,False,EDGAR,2026-03-19
SRZN,"Surrozen, Inc.",NASDAQ,35201010,Biotechnology,226971232.0,2307888.4959228514,micro_cap,False,False,EDGAR,2026-03-19
IPSC,"Century Therapeutics, Inc.",NASDAQ,35201010,Biotechnology,222446528.0,2507513.8627263703,micro_cap,False,False,EDGAR,2026-03-19
ELDN,"Eledon Pharmaceuticals, Inc.",NASDAQ,35202010,Pharmaceuticals,221372224.0,2706147.724162483,micro_cap,False,False,EDGAR,2026-03-19
ALEC,"Alector, Inc.",NASDAQ,35201010,Biotechnology,221276992.0,1892062.7349557083,micro_cap,False,False,EDGAR,2026-03-19
SLGL,Sol-Gel Technologies Ltd.,NASDAQ,35202010,Pharmaceuticals,220411472.0,2222919.424799601,micro_cap,False,False,EDGAR,2026-03-19
MDWD,MediWound Ltd.,NASDAQ,35202010,Pharmaceuticals,217813120.0,1401081.0474235534,micro_cap,False,False,EDGAR,2026-03-19
CAMP,CAMP4 THERAPEUTICS CORPORATION,NASDAQ,35202010,Pharmaceuticals,217641376.0,1687029.4324280422,micro_cap,False,False,EDGAR,2026-03-19
PLX,"Protalix BioTherapeutics, Inc. ",AMEX,35201010,Biotechnology,210703488.0,4288562.472147496,micro_cap,False,False,EDGAR,2026-03-19
